$BlockNames
EXP_JointSet_1_Axle_111:EXP社 小型車軸
msgNPCGreeting2:いいか、よく聞け。今回は赤子の手をひねるようにはいかないぞ。
msgNPCGreeting3:すぐそこに<color=#f23d3dff>敵ターレット</color>が2機設置されてる。
msgNPCGreeting4:司令部はオマエに奴らを掃討して欲しいそうだ。
msgNPCGreeting5:いいか、十分に注意して向かえ。奴らは本気だ。
NPCGreetingEnemyDead1:思考回路がショートしたか?!
NPCGreetingEnemyDead2:貴様への指示はブリーフィングをするために俺と会うことだろ！
NPCGreetingEnemyDead3:いや、そんなことはどうでもいい。貴様が遭遇した2機の<color=#f23d3dff>敵ターレット</color>はかなりヤバい奴らだったんだ！
NPCGreetingEnemyDead4:貴様が今回の事を教訓としないなら、いつか痛いしっぺ返しが来ると思え。
NPCGreetingEnemyDead5:俺が貴様を軍法会議に突き出す前に、さっさとここから失せろ！\n《ミッション完了》
NPCGreetingInturrupt1:あそこにいる奴をやれ！
NPCGreetingInturrupt2:(はぁ…こりゃ始末書が面倒なパターンだ…)
$Mission_HE_DefeatEnemyTurrets3_03
msgComplete:《<color=#f23d3dff>敵ターレット</color>排除》勇ましいオマエならやってくれると思ってたぞ。よくやった！\n《ミッション完了》
msgEnemySpotted:<color=#f23d3dff>ターレット</color>の間で足止めされるな。動き続けて1機ずつ潰すんだ。
QLDescription:<color=#f23d3dff>スマッシュ軍曹</color>は現在新たな作戦計画をまとめており、貴様を名指しで呼んでいる。指定エリアで彼と綿密なブリーフィングを行い、彼に協力せよ。
QL01Find:スマッシュ軍曹の元へ向かえ
QL02Fight:敵ターレットを破壊せよ
QLTitle:隠密作戦 "盲目の射手"
msgNPCGreeting1:はは！オマエに任せればこの任務の成功は約束されたようなものだな。
msgNPCGreeting2:オマエへの依頼が多くなっているのは、いわゆる信頼の裏返しって奴だ。分かるな？
msgNPCGreeting3:この先で3機の<color=#f23d3dff>敵ターレット</color>が支配しているエリアを発見した。
msgNPCGreeting4:いいか？動き続けて敵に的を絞らせないようにするんだ。足を止めるなよ？
msgNPCGreeting5:分かったな？よし、行ってこい、幸運を祈ってるぞ！
NPCGreetingEnemyDead1:ハハハ！おい、そこのキミこっちに来てくれ
NPCGreetingEnemyDead2:キミが例の<color=#f23d3dff>ターレット</color>たちを易々と片づける様子を見させて貰ったよ。
NPCGreetingEnemyDead3:うむ、良い働きぶりだったな！しかし、嫌なのは分かるが、次は規則に則って行動してくれ。
NPCGreetingEnemyDead4:具体的に言えば、戦闘を始める前に私と打ち合わせをして欲しい。
NPCGreetingEnemyDead5:まあともかく、よくやってくれた。拠点に戻って食事でもしてくるといい。\n《ミッション完了》
NPCGreetingInturrupt1:よし、基本が分かっているオマエなら問題ない。行ってこい。
NPCGreetingInturrupt2:慢心はするなよ。奴らの成長速度は速いぞ…
$Mission_HE_AttackProtectedTarget_01
QLTitle:隠密作戦 "オーバーロード"
QLDescription:敵の近くで潜伏している<color=#f23d3dff>スマッシュ軍曹</color>から貴様に頼みたい仕事があると連絡があった。彼を待たせるんじゃないぞ。
QL1Find:スマッシュ軍曹を尋ねよ
QL2Fight:ターレットを暗殺せよ
MsgMissionComplete:ふむ、どうやら全くの役立たずという訳ではないようだな。\n《ミッション完了》
MsgNPCGreeting1:！！！貴様！スクラップにされたいのか！
MsgNPCGreeting2:そのウジ虫みたいにコソコソ忍び寄ってくるのは止めろ！いいな？
MsgNPCGreeting3:我々のブラックリストに載っている<color=#f23d3dff>ターゲット</color>を補足した。貴様には奴を叩きのめしてもらう。
MsgNPCGreeting4:バラバラになってお家に帰りたくないなら、奴の<color=#f23d3dff>護衛</color>に気を付けろ。
MsgNPCGreeting5:口笛を吹いとる場合か！さっさと片付けて来い！
MsgNPCGreetingEnemyDead1:こんな簡単な指示にも従えんのか！
MsgNPCGreetingEnemyDead2:司令部に俺と打ち合わせをしろと言われただろう。……言い訳があるようだな？
MsgNPCGreetingEnemyDead3:あー全く聞こえんぞ、うすらバカが！
MsgNPCGreetingEnemyDead4:貴様の勝手な行動で私の任務が台無しになった挙句、許可なく<color=#f23d3dff>ターゲット</color>に攻撃しやがって！
MsgNPCGreetingEnemyDead5:”指令に従う”というのがどういう事か理解するまでは、その面見せるな！\n《ミッション完了》
MsgNPCGreetingInturrupt1:天才様なら皆まで言わなくても分かるだろう！
MsgNPCGreetingInturrupt2:(こいつが切り抜けられるか試してみるか…)ってことでじゃあな、新兵！
MsgTargetTechFound:まずは<color=#f23d3dff>護衛</color>の奴らを釣りだして破壊しろ。終わったら、増援が来る前に<color=#f23d3dff>ターゲット</color>へ集中砲火をお見舞いしてやれ。
$Mission_HE_AttackProtectedTarget_02
QLTitle:隠密作戦 "毒蛇"
QLDescription:新しい任務だ。<color=#f23d3dff>スマッシュ軍曹</color>が作戦地域付近の前線基地で貴様との打ち合わせのために待機している。まあ、私なら<color=#f23d3dff>軍曹</color>を待たせるような事はしないな。
QL1Find:スマッシュ軍曹に協力せよ
QL2Fight:ターレットを破壊せよ
MsgMissionComplete:あの飛び散るゴミを見てみろ!俺は朝のぶっ壊れたブロックの匂いがたまらなく好きなんだ。\n《ミッション完了》
MsgNPCGreeting1:おい！
MsgNPCGreeting2:おい！そこのオマエだ！姿勢を低くしろ。<color=#f23d3dff>ターゲット</color>は目と鼻の先だ。
MsgNPCGreeting3:あのクソ野郎をつまみだすのは重要な任務だ。俺に恥をかかせるなよ？
MsgNPCGreeting4:<color=#f23d3dff>ターゲット</color>は武装した<color=#f23d3dff>護衛</color>に守られてる。だが奴らにはかまうな。
MsgNPCGreeting5:よし、行け！
MsgNPCGreetingEnemyDead1:クソ！なんなんだ！
MsgNPCGreetingEnemyDead2:俺は身を潜めつつ<color=#f23d3dff>ターゲット</color>を監視して待ってたんだが…
MsgNPCGreetingEnemyDead3:貴様はまるで、尻尾に花火をくっ付けられて走り回る犬みたいだったぞ！
MsgNPCGreetingEnemyDead4:いいか？またあんなバカげたことしてみろ、背中ぶち抜いてやるからな。
MsgNPCGreetingEnemyDead5:さっさと失せろ\n《ミッション完了》
MsgNPCGreetingInturrupt1:俺が喋ってる間に帰ってこい！
MsgNPCGreetingInturrupt2:もう良い、俺には関係ない。本件は無能な貴様が何とかしろ。
MsgTargetTechFound:<color=#f23d3dff>護衛</color>に怖気づくな。動きながら冷静に<color=#f23d3dff>ターゲット</color>を破壊するんだ。被ダメージはなるべく抑えるんだぞ。
$Mission_HE_AttackProtectedTarget_03
QLTitle:隠密作戦 "暗殺"
QLDescription:<color=#f23d3dff>スマッシュ軍曹</color>は本任務の人員としてキミを指名した。指定地点にて彼と待ち合わせ、詳しい話を聞いてこい。
QL1Find:スマッシュ軍曹の元へ向かえ
QL2Fight:ターレットを排除せよ
MsgMissionComplete:かっ飛ばしてくれたようだな。よくやった！Hooah！\n《ミッション完了》
MsgNPCGreeting1:協力感謝する。さあ、パーティをおっぱじめるぞ。
MsgNPCGreeting2:<color=#f23d3dff>ターゲット</color>はこの先の<color=#f23d3dff>ターレット</color>だ。 
MsgNPCGreeting3:数機の<color=#f23d3dff>護衛</color>もいる。奴が一人じゃないってことは念頭に置いておいてくれ。
MsgNPCGreeting4:そして、素早く彼を倒さないと待機させている<color=#f23d3dff>護衛</color>が加勢に来る。
MsgNPCGreeting5:<color=#f23d3dff>ターゲット</color>に集中砲火だ、いいな？よし、作戦開始。
MsgNPCGreetingEnemyDead1:おお、そこにいたか！忠誠心の欠片もない問題児君！
MsgNPCGreetingEnemyDead2:全く、オマエはいつも俺の頭痛の種だよ。
MsgNPCGreetingEnemyDead3:頼むから指示には順番通りに従って欲しい。オマエに与えた仕事の可否次第で対応を変えるんだからな。
MsgNPCGreetingEnemyDead4:頼むから、<color=#f23d3dff>ターゲット</color>についての簡単な説明を聞くようにしてくれ…
MsgNPCGreetingEnemyDead5:次回以降<color=#f23d3dff>敵</color>と対峙する前に俺と会ってくれればいいから。な？\n《ミッション完了》
MsgNPCGreetingInturrupt1:まっ待て！どこに行くつもりだ？！
MsgNPCGreetingInturrupt2:良いだろう。そっちがそのつもりならこっちにも考えがある。失敬。
MsgTargetTechFound:<color=#f23d3dff>護衛</color>には構わず、<color=#f23d3dff>ターゲット</color>への攻撃に集中するんだ。必要に応じて撤退、修理も忘れるなよ。
$Mission_HE_KillEnemies_01
QLTitle:隠密作戦 "大掃除"
QLDescription:<color=#f23d3dff>スマッシュ軍曹</color>と共に指令内容の確認を行え。ぼやぼやするな！解散！
QL1Find:スマッシュ軍曹を探せ
QL2Fight:敵ユニットを狩れ
MsgMissionComplete:やっとか！一体どこで道草食っていたんだ？\n《ミッション完了》
MsgNPCGreeting1:ずいぶんと遅いご到着だな？
MsgNPCGreeting2:俺を待たせたお礼にキツイお仕事をくれてやる。
MsgNPCGreeting3:と言っても、ヘマをやらかさなきゃ良いだけだ。いつも通りな。
MsgNPCGreeting4:司令部から<color=#f23d3dff>敵部隊</color>がこの地域になだれ込んだという報告を受けている。
MsgNPCGreeting5:とにかく奴らを指定数倒せ。ほら行ってこい！
MsgNPCGreetingInturrupt1:おやおや、"天才様"には退屈な話だったようだな。
MsgNPCGreetingInturrupt2:ハッ冗談だ。とにかく<color=#f23d3dff>敵</color>を倒せ。いいな？
$Mission_HE_KillEnemies_02
QLTitle:隠密作戦 "没落帝国"
QLDescription:<color=#f23d3dff>スマッシュ軍曹</color>のいる指定降下地点へ向かい、次の任務の打ち合わせを行え。
QL1Find:スマッシュ軍曹の元を訪ねよ
QL2Fight:敵ユニットを掃討せよ
MsgMissionComplete:だいぶ時間が掛かったようだな。まあ良い。\n《ミッション完了》
MsgNPCGreeting1:だいぶこの付近の敵が減ったが、何故だか分かるか？
MsgNPCGreeting2:分からんのか？仕方ない、聞いて驚くな？…
MsgNPCGreeting3:...「司令部、私に割り当てられた<color=#f23d3dff>敵部隊</color>は全滅させました。」
MsgNPCGreeting4:俺がやったことは、オマエもやる。当然だろ？
MsgNPCGreeting5:なんだ不満でもあるのか？さっさと行って撃破数稼いでこい！
MsgNPCGreetingInturrupt1:いいだろう。ここらで少しはその面の皮の厚さが味方相手だけじゃないところを見せてみろ。
MsgNPCGreetingInturrupt2:いいか？俺に割り当てられた<color=#f23d3dff>敵部隊</color>を全滅させるまで返ってくるな。
$Mission_HE_KillEnemies_03
QLTitle:隠密作戦 "紅の野火"
QLDescription:次の目標地点にて<color=#f23d3dff>スマッシュ軍曹</color>と打ち合わせを行い、協力して事態を収拾せよ。
QL1Find:スマッシュ軍曹を探せ
QL2Fight:敵ユニットを根絶せよ
MsgMissionComplete:成績はおおむね良好といったところだな。\n《ミッション完了》
MsgNPCGreeting1:私に敬礼するなどという殊勝なマネは慎め！スナイパーのいい的だ。
MsgNPCGreeting2:奴らは茂みや泥の中で身を潜めてやがる…
MsgNPCGreeting3:この辺りは<color=#f23d3dff>敵勢力</color>の支配地域だ。そこら中にうじゃうじゃいるぞ。
MsgNPCGreeting4:よし、そろそろ頃合いだな。”我々”で指定数やっつけてしまおう。
MsgNPCGreeting5:そう"我々"。つまり、オマエということだ。今回はオマエの出番。行ってこい！
MsgNPCGreetingInturrupt1:おぉいいぞ！やる気は買ってやる！
MsgNPCGreetingInturrupt2:敵の首取って帰ってこい。
$Mission_HE_KillEnemies_04
QLTitle:隠密作戦 "破られた盾"
QLDescription:<color=#f23d3dff>スマッシュ</color>がキミに任せたい任務があるそうだ。彼の元を尋ねて詳細を聞いてやってくれ。
QL1Find:スマッシュ軍曹の元へ向かえ
QL2Fight:敵ユニットを破壊せよ
MsgMissionComplete:易々とこなしやがって。俺にもその力を分けて欲しいもんだ。\n《ミッション完了》
MsgNPCGreeting1:姿勢を低くしろ！
MsgNPCGreeting2:完全に包囲されたな。<color=#f23d3dff>X線</color>がそこら中に張り巡らされてやがる。
MsgNPCGreeting3:司令部からはこの区域を死守するようにとのお達しだ。
MsgNPCGreeting4:ということで、オマエは見つけた<color=#f23d3dff>敵車両</color>を片っ端からぶっ壊していってくれ。それしかない。
MsgNPCGreeting5:質問はあとだ、今はひたすら撃ちまくれ。GO！GO！GO！
MsgNPCGreetingInturrupt1:さあ行け！俺の事は気にするな……
MsgNPCGreetingInturrupt2:こう見えて、俺はオマエと打ち合わせをする以外の事も出来るんだぜ...
$Mission_HE_KillEnemies_05
QLTitle:隠密作戦 "暁闇"
QLDescription:<color=#f23d3dff>軍曹</color>は次の任務にキミも参加して欲しいそうだ。彼に直接会って詳しい話を聞きに行くといい。
QL1Find:スマッシュ軍曹を探せ
QL2Fight:敵ユニットを撲滅せよ
MsgMissionComplete:素晴らしい仕事ぶりだった。我が社からの依頼が過大な点は申し訳ないと思っている。\n《ミッション完了》
MsgNPCGreeting1:再出撃要請だ。
MsgNPCGreeting2:軍の高官たちは、戦力未知数の<color=#f23d3dff>敵部隊</color>がこの地域にいる事に対して懸念を抱いている。
MsgNPCGreeting3:困難な任務ではあるが、キミの力が必要だ。全力を尽くしてくれると嬉しい。
MsgNPCGreeting4:我々の領土を侵犯するということがどういうことか、奴らに思い知らせるんだ。
MsgNPCGreeting5:さあ、始めてくれ。
MsgNPCGreetingInturrupt1:これはこれは！
MsgNPCGreetingInturrupt2:今日はずいぶんとやる気じゃないか！
$Mission_HE_KillEnemies_06
QLTitle:隠密作戦 "白妙の風"
QLDescription:<color=#f23d3dff>スマッシュ軍曹</color>がまた、キミに頼みたいことがあると言っていた。なんでも新しい作戦を手伝って欲しいらしい。彼と会って詳しい話を聞いてやってくれ。
QL1Find:スマッシュ軍曹を尋ねよ
QL2Fight:敵ユニットを狩れ
MsgMissionComplete:キミに頼めばやり遂げてくれると思ってたぞ。\n《ミッション完了》
MsgNPCGreeting1:会えてうれしいよ。なんのことはない、私の上官たちに人を寄越すよう頼んだら、オマエが送られてきたってだけさ。
MsgNPCGreeting2:<color=#f23d3dff>敵</color>はこの一帯を制圧しようと頑張ってるようだ。
MsgNPCGreeting3:オマエには奴らの"頑張り"を妨害して、士気をくじいて貰いたい。だが、そのためには大量の敵を排除する必要がある。
MsgNPCGreeting4:司令部の見立てでは、60機倒せば達成可能としている。
MsgNPCGreeting5:容赦は不要だ。徹底的にやってくれ。
MsgNPCGreetingInturrupt1:ハハ、霧散したな！
MsgNPCGreetingInturrupt2:<color=#f23d3dff>敵</color>は、どんな武器で攻撃されたかも分からなかっただろう。
$GauntletChallenge
msgIntroScreen:<color=#81ccefff>TerraTech Gauntlet</color>にようこそ！\n\nユニットを作成し、制限時間内にコースをクリアしましょう！
msgBuildTech:<color=#81ccefff>インベントリ</color>のブロックで、ユニットを作成しましょう。<color=#81ccefff>「B」</color>キーを押して、ビルドビームから退出します。
msgBuildTech_Pad:<color=#81ccefff>インベントリ</color>ブロックで、ユニットを製作しましょう。{key:0}を押して、ビルドビームから退出します。
msgReadyToStart:最初のチェックポイントを通過し、、タイマーをスタートさせましょう。
msgCheckpointMissed:チェックポイントから外れていたようですね！戻って通過してください。
msgOutOfBounds:おっと！コースから外れてしまったようですよ！
msgTutorial01RotateCamera:<color=#81ccefff>マウスの右ボタン</color>をクリックしてドラッグし、カメラを移動させてください。
msgTutorial02AttachBodyBlock:<color=#81ccefff>マウスの左ボタン</color>で<color=#81ccefff>基礎ブロック</color>をドラッグして<color=#81ccefff>操縦ブロック</color>の後ろに移動させましょう。
msgTutorial03aAttachWheels:よし！続いて側面に<color=#81ccefff>車輪</color>を4つ取り付けてみよう
msgTutorial03aRotateToFindWheels:<color=#81ccefff>マウスの右ボタン</color>をクリックしてドラッグし<color=#81ccefff>タイヤ</color>を全て探しましょう。
msgTutorial03bAttachBoosters:素晴らしい！次に、タイヤの間に<color=#81ccefff>ブースター</color>を取りつけましょう。
msgTutorial04AttachGun:最後に、<color=#81ccefff>銃</color>を手に取り、上に取り付けましょう。
msgTutorial05ExitBeam:最初の<color=#81ccefff>ユニット</color>を作成できましたね！次に<color=#81ccefff>B</color>キーをタップして<color=#81ccefff>ビルドビーム</color>を発射しましょう。
msgTutorial06TryDriving:<color=#81ccefff>W</color>、<color=#81ccefff>S</color>、<color=#81ccefff>A</color>および<color=#81ccefff>D</color>キーで操縦します。
msgTutorial07aTryShooting:<color=#81ccefff>スペースバー</color>を長押しして<color=#81ccefff>銃</color>を発砲。
msgTutorial07bTryBoosting:<color=#81ccefff>シフト</color>キーを押すと <color=#81ccefff>ブースター</color>を使用できます。
msgTutorial08BlockPalette:画面左の<color=#81ccefff>インベントリ</color>を使えば、もっとユニットを作成できます。
msgStart:スタート
msgTutorial:チュートリアル
msgBoosterHint:<color=#81ccefff>シフト</color>キーを長押ししてブースターを使用。
msgGunHint:<color=#81ccefff>スペースバー</color>を長押しして<color=#81ccefff>銃</color>を発砲。
launchTutorial:チュートリアル開始
techSaved:新しく保存したユニット
leaderboardTime:タイム：
nameEntryYourTime:あなたのタイム：
GauntletLeaderboard:ガントレットリーダーボード
checkpointMissed:チェックポイントを外しました
wrongWay:方向が間違っています
$HintSection
msgExplainBooster:これは<color=#81ccefff>ブースター</color>です。<color=#81ccefff>ユニット</color>に設置して<color=#81ccefff>左シフト</color>を長押しし、ブーストします。
msgExplainBooster_Pad:これは<color=#81ccefff>ブースター</color>です。<color=#81ccefff>ユニット</color>に設置して{key:0}を長押しし、ブーストします。
msgSnapshotButton:どんどん成長していますね！画面左下の<color=#81ccefff>スナップショットボタン</colorを押して<color=#81ccefff>ユニット</color>を保存してみませんか？
msgSnapshotButton_Pad:どんどん成長していますね！{key:0}を押して<color=#81ccefff>ラジアルメニュー</color>を開き<color=#81ccefff>スナップショット</color>を撮りましょう！
msgTheyTakeTime:プロセスには、時間と資金が必要です。
msgWhenRadarOnTech:<color=#81ccefff>ユニット</color>が<color=#81ccefff>レーダー</color>を装着していれば<color=#81ccefff>ミニマップ</color>が表示されます
msgTheMiniMap:<color=#f23d3dff>敵ユニット</color>、<color=#81ccefff>僚機</color>、その他のチェックポイントは<color=#81ccefff>ミニマップ</color>に表示されます
msgHoldSpaceToFire:知っていましたか？<color=#81ccefff>スペースキー</color>を押し続けると射撃を続けることができます。試してください！
msgHoldSpaceToFire_Pad:{key:0}を長押しするだけで、武器を発砲できるのはご存知でしたか？やってみましょう！
msgTradingStationRestock:<color=#81ccefff>交易所</color>は毎朝、日の出と同時に在庫の品揃えを更新します。
msgTradingStationHasRestocked:おはようございます！交易所の在庫が新しくなりましたよ！
msgRecallStoredTech:ブロックだけではなく<color=#81ccefff>ユニット</color>も丸ごと<color=#81ccefff>インベントリ</color>に収納することができる。ただし、復元には<color=#81ccefff>スナップショット</color>が必要なのでお忘れなく！
msgDefeatedByTraderTroll1:残念！あの<color=#81ccefff>トロール</color>に再戦を挑む前に<color=#81ccefff>ユニット</color>の強化を忘れずに！
msgDefeatedByTraderTroll2:移動する際は<color=#81ccefff>バッテリー</color>を充電し、<color=#81ccefff>リペアフィールド</color>の展開を忘れずに！
msgBatteryPower:<color=#81ccefff>バッテリー</color>の電力を使うことで、移動中でも<color=#81ccefff>リペアバブル</color>を展開出来ますよ。
msgBatteryCharge:<color=#81ccefff>バッテリー</color>を充電したいときは、地面に固定した<color=#81ccefff>太陽光発電機</color>に取り付けましょう。
msgMissionLog:<color=#81ccefff>Lキー</color>を押して、<color=#81ccefff>ミッションログ</color>を開きましょう。
msgMissionLog_Pad:{key:0}を押して<color=#81ccefff>ミッションログ</color>を開きます。
msgObjectiveMarker:<color=#ffff00ff>?</color>の場所に向かい、あなたの<color=#81ccefff>太陽光発電機</color>を探しましょう。
msgConveyorDirection:<color=#81ccefff>コンベア</color>を<color=#81ccefff>右クリック</color>すると<color=#81ccefff>流れの向き</color>を変えることができます。
msgConveyorDirection_Pad:<color=#81ccefff>コンベア</color>に焦点を当てて{key:0}を押し、<color=#81ccefff>コンベアライン</color>の向きを変えてください。
msgCraftingMissionInDesert:もし<color=#81ccefff>マイク・クラフティ</color>,をお探しであれば<color=#81ccefff>砂漠</color>.にある交易所でクエストが受けられます。
msgAnchorTechFailed:残念ですが、ここではアンカーを刺すことが出来ません。 広くて、平らな地形を探してみて下さい。あと、アンカーが<color=#81ccefff>ユニット</color>の下部に付いていることも確認してみて下さいね。
msgPowerStorage:充電された<color=#81ccefff>バッテリー</color>は電力を蓄えており、<color=#81ccefff>リペアバブル</color>は<color=#81ccefff>バッテリー</color>内の電力を使うことで、素早くブロックを回復させることが出来ます。
msgRaceFailedOutOfTime:流石にノロマ過ぎると思います！<color=#81ccefff>ユニット</color>を組み直して速くするか、別なものを作ってみましょう！
msgTechTargeting:<color=#f23d3dff>敵</color>を<color=#81ccefff>マウスのミドルボタン</color>でクリックし、武器の照準を定めましょう。
msgTechTargeting_Pad:{key:0}をクリックして、一番近くの<color=#f23d3dff>敵</color>に照準を合わせましょう。
msgTechTargeting_Pad2:{key:0}をクリックして、一番近くの<color=#f23d3dff>敵</color>に照準を合わせましょう。ターゲットは、{key:1}を移動させて変更できます。
msgExplosiveBolt:これは<color=#81ccefff>爆発ボルト</color>です。<color=#81ccefff>ユニット</color>に設置して<color=#81ccefff>Xキー</color>を押し、爆発させましょう。
msgExplosiveBolt_Pad:これは<color=#81ccefff>爆発ボルト</color>です。<color=#81ccefff>ユニット</color>に設置すると<color=#81ccefff>ユニットオプション</color>メニューの<color=#81ccefff>ブロックアクション</color>から爆発します。
msgBlockLimit1:Your <color=#81ccefff>Block Allowance</color> bar fills up as you attach <color=#81ccefff>Blocks</color> and create new <color=#81ccefff>Techs</color> in the world. New <color=#81ccefff>Techs</color> have a base cost of <color=#81ccefff>200</color>. [jp]
msgBlockLimit2:Your <color=#81ccefff>Block Allowance</color> increases as you level up during the <color=#81ccefff>Campaign</color>. [jp]
msgBuildUpToFightBigger:NOT USED
msgBuildWithoutBeam:NOT USED
msgHoldToShowInfo:NOT USED
msgMouseOverTitle:NOT USED
$WarningSection
msgFallenOver:<color=#81ccefff>Bキー</color>を押して<color=#81ccefff>ユニット</color>を起こしましょう
msgFallenOver_Pad:{key:0}を押すと<color=#81ccefff>ユニット</color>を直立させることができます。
msgFallenRecovered:<color=#81ccefff>Bキー</color>をもう一度押し、ビルドビームをオフにしましょう
msgFallenRecovered_Pad:再度{key:0}を押すと、ビルドビームを発射します。
msgOtherTechTakingDamageA:<color=#f23d3dff>警告！</color>あなたの<color=#81ccefff>設備</color>が攻撃を受けています！
msgOtherTechTakingDamageB:<color=#f23d3dff>敵ユニット</color>の攻撃からあなたの施設を守ってください！
msgHeartBlockTakingDamage:あなたのSCUストレージデバイスを敵ユニットによる攻撃から守ってください！
msgVendorsAreInactive:接続拒否
$NewMenuMain
campaignModeDescription:独自の発想で陸上・飛行ユニットを設計・組立・操縦しよう！そして企業繁栄のために未開の惑星を探検して資源を探し出そう！
campaignModeTitle:キャンペーン
challengesModeDescription:同じ資源を巡って争う探検家がたむろしている遠い惑星を探検することにうんざりしてきたら、少し休憩を取って、飛行やレースやレスリングといった運動の基礎に焦点を当ててみましょう！
challengesModeTitle:チャレンジ
creativeModeDescription:戦闘モードで全てのブロックを使用し、考えられる組み合わせを試そう！素晴らしい発想は保存して他のプレーヤーと共有することもできます。
creativeModeTitle:クリエイティブ
gauntletModeDescription:迫りくる敵や障害物をかわし、ランキング上位を目指せ！デザインと操縦テクニックが、いま試される！
gauntletModeTitle:ガントレット
menuContinueGame:再開
menuContinueGameFileNotFound:最後にプレイしたデータが見つかりません削除・変更・移動された可能性があります
menuMainLoadGame:セーブ読込
menuMultiplayer:マルチプレイヤー
menuStartNewGame:新規ゲーム
rAndDModeDescription:最新のブロック、未実装のブロックなどをテストするモードです。※予期せぬ挙動が発生する可能性があります
rAndDModeTitle:R&D実験棟
challengeGroupRaceTitle:ユニットレース
challengeGroupRaceDescription:全てのチェックポイントを、一番乗りで通過しよう！
challengeGroupFlightTitle:ユニット戦闘
challengeGroupFlightDescription:最高の飛行ユニットを作成しよう。ベストスコアを叩き出せるかな？
challengeSumoTitle:ユニット相撲
challengeSumoDescription:他のユニットと競い合い、栄光をつかめ！相手のコアユニットを破壊するか、場外へ押し出せ！
challengeSumoDescriptionDesign:限られたブロックのセットから究極の相撲取りを育てて、相撲バトルに備えよう。
challengeSumoDescriptionRanked:相撲取りをほかのプレイヤーが作成したユニットと戦わせ、ランクをどこまで駆け上がることができるか腕試ししよう。
challengeSumoDescriptionVersus:2つから4つのユニットで相撲バトルを行おう。勝利の栄光に輝けるのは誰かな？
menuConfirm:決定
menuLoadGame:ゲームを読み込む
menuSaveInfoTimePlayed:<b>プレイ時間:</b> {0}
menuSaveInfoLastPlayed:<b>最後にプレイしたセーブ:</b> {0}
menuSaveInfoSeed:<b>シード値：</b> {0}
menuDeleteSavedGame:削除
menuRenameSavedGame:改名
renameTech:ユニット名変更
gauntletTrack1Description:急カーブや強敵など多くの要素が好記録のハードルとなり襲い掛かってくる！果たして攻略することができるのか！？
gauntletTrack1Title:Rolling Thunderコース
gauntletTrack2Description:ショートカット用のジャンプ台がいくつも設置されたコース。早く測定してみたい人にオススメ！
gauntletTrack2Title:Home Runコース
loadTech:ユニット読込
local:ローカル
community:コミュニティ
loadingTechs:ユニット読込中・・・
bugReporter:不具合報告
bugReporterCrashExplanation:<b>TerraTechソフトウェアで深刻なエラーが発生しました</b>\n\n下の<b>送信</b>をクリックすると、セーブファイルとログが開発チームへ送信されます。エラーが発生した時の様子を明記していただけますと、サポートに役立ちます。
bugReporterCrashFollowUp:<b>TerraTechソフトウェアがクラッシュしました</b>継続して遊ぶことはできますが、動作が遅くなったり、深刻なエラーが発生する可能性があります。<b>セーブデータの破損を防ぐ為にもソフトウェアの再起動を行うことを推奨します</b>もし毎回発生するようであればセーブデータが破損している可能性があるため、新規セーブデータから始めることをお勧めします
bugReporterBugExplanation:<b>何か問題がおきましたか？</b>\n\n問題が発生した時の様子を簡単な説明を添えていただけるとより迅速に解決できるかもしれません
controllerDisconnected:コントローラーの接続が切れています！
controllerDisconnected_PS4:ワイヤレスコントローラーの接続が切れています！
controllerDisconnected_XboxOne:コントローラーの接続が切れています！
chatPlaceholder:文字を入力・・・
descriptionPlaceholder:詳細
emailPlaceholder:連絡先(必須ではない）
send:送信
grabitWarningDialog:グラビットをクリアすると、通知が表示されます。
loading:読み込み中
snapshotOverwriteWarning:{0}のSnapshotは既に存在します。上書きしますか？
overwrite:上書き
menuCancel:キャンセル
loadGameTooltipNoLongerSupported:このセーブデータは過去バージョンでのみ読み込みが可能です。
loadGameTooltipSavedInNewerVersion:このファイルはバージョン{0}によって作成されたセーブです。{0}以降のバージョンを使用して読み込んでください
saveGameCorrupt:保存されたデータ{0}は破損しているため、削除されます
player:プレイヤー{0}
CampaignSave:戦闘モード保存
CreativeSave:クリエイティブモード保存
RandDSave:R＆Dセーブ
AutoSave:自動セーブ{0}
AutoSnapshot:自動スナップショット{0}
PlayerTech:プレイヤーユニット#{0}
MyFirstTech:Tech #001
InfoSaveTech:ユニットの現在のデザインのスナップショットを撮り、セーブして今後のゲームプレイに役立てましょう。\n\nセーブしたスナップショットは、インベントリのブロックを使用して、味方ユニットとして再配置できます。クリエイティブモードでは、現在のユニットをスナップショットのデザインに置き換えることもできます。\n\nスナップショットを.pngファイル形式でセーブしました。 コンピューターのロケーションから、セーブしたスナップショットを表示して削除できます。\n<color=#81ccefff>{0}</color>
